1.109621063877642428e+03 1.908142150247412516e+01 4.471699499058512939e-01 1.751360494537944901e-01 4.184925918744494266e-01 8.159188127083182307e-01
2.413127136752136721e+03 2.848093792172739569e+01 4.367715869930418604e-01 1.740967090383496174e-01 4.172489772765771709e-01 8.196029922009179236e-01
2.334015013495277344e+03 2.842600089968510702e+01 4.366324270340368741e-01 1.747375663899721210e-01 4.180162274242139042e-01 7.985673285006098521e-01
2.273870445344129621e+03 2.769343229869545553e+01 4.366735899836082790e-01 1.732579567071819149e-01 4.162426656497167921e-01 8.234400008362794399e-01
1.627147660818714030e+03 2.283974358974359475e+01 4.414390310957357899e-01 1.742885024401377714e-01 4.174787448962375414e-01 8.104717955923614880e-01
2.290256635177687713e+03 2.749049707602339154e+01 4.372006676222920385e-01 1.740330546979355353e-01 4.171726916972580690e-01 8.326356442763329646e-01
2.183292116509222978e+03 2.731196581196581263e+01 4.355002786931284620e-01 1.732874943036133986e-01 4.162781453591016811e-01 8.430774840980284068e-01
2.313257984705353465e+03 2.776698155645524224e+01 4.370099455623910334e-01 1.731506898003211392e-01 4.161137942922839006e-01 8.272117143659855065e-01
2.264263776428252186e+03 2.763230994152048581e+01 4.353781163216799976e-01 1.737374799323784247e-01 4.168182816676572200e-01 8.464468899371475619e-01
2.119221547458389978e+03 2.705673639226271376e+01 4.344908159480323495e-01 1.737165777403012201e-01 4.167932074066241777e-01 8.417614881023032236e-01
2.455176338281602511e+03 2.850044984255511338e+01 4.372914656580437209e-01 1.742789631422525520e-01 4.174673198494135429e-01 8.232362969168710576e-01
2.234351214574899132e+03 2.710695006747638303e+01 4.380100242119996379e-01 1.740302714805131434e-01 4.171693558742218255e-01 8.351957518991077745e-01
2.117800044984256147e+03 2.678711201079622128e+01 4.383071155126663232e-01 1.741316636722692601e-01 4.172908621959858788e-01 8.137935617985890824e-01
2.166160874943770068e+03 2.674938146648673865e+01 4.373938611390164044e-01 1.741033157214561256e-01 4.172568941568924328e-01 8.328216396917799136e-01
2.550741452991454935e+03 2.883327710301396607e+01 4.366641944825369048e-01 1.736689567400145906e-01 4.167360756402241351e-01 8.206580188402087250e-01
2.198095254161044977e+03 2.713444669365723172e+01 4.352015802032764835e-01 1.729235164959471993e-01 4.158407345318002601e-01 8.404352790475259072e-01
2.334021255060729345e+03 2.814771704903284189e+01 4.364868421563540823e-01 1.740238568797229102e-01 4.171616675579419842e-01 8.023058632503126120e-01
2.611496794871796283e+03 2.980364372469636791e+01 4.355414751136629237e-01 1.738335151617735053e-01 4.169334661091305683e-01 7.987241293329663261e-01
2.573478463787675537e+03 2.955729869545659838e+01 4.348199754215904544e-01 1.735775812853156685e-01 4.166264289328218684e-01 8.224350699669121800e-01
2.019311178587494851e+03 2.585087719298245901e+01 4.354109116716431416e-01 1.730145026480102988e-01 4.159501203846565631e-01 8.225536283230051593e-01
